SMILES,Hit
O=C(CCc1ccccc1)Nc1ccc(I)cc1,0
O=C(NCCCCc1ccccc1)C(=O)NCC1CCCO1,0
CCCNC(=O)C(=O)NN=Cc1c[nH]c2ccccc12,0
O=C1c2ccc(Oc3cccc(N4C(=O)c5ccc([N+](=O)[O-])cc5C4=O)c3)cc2C(=O)N1c1ccccc1,0
Cc1cc(C)n(C(=O)c2cccc([N+](=O)[O-])c2)n1,0
CC(CC(=O)Nc1ccc(Cl)c(Cl)c1)=NNC(=O)c1cccc(Cl)c1,0
CCc1ccccc1NC(=O)CC(C)=NNC(=O)COc1ccccc1,0
COc1ccc(/C=N/NC(=O)CCCCC(=O)N/N=C/c2ccc(OC)cc2)cc1,0
O=C(N/N=C/c1ccc(Cl)cc1)c1ccc(OCc2ccccc2)cc1,0
Cc1ccc(C=NNC(=O)c2cccnc2)o1,0
O=C(Cn1nc2c(Oc3ccccc3)nccn2c1=O)Nc1ccc(F)cc1Cl,0
Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,0
O=C(Cc1cccc2ccccc12)NN=Cc1c[nH]nc1-c1cccc(Br)c1,0
O=C(Nc1ccccc1C(=O)N1CCCCC1)c1ccc([N+](=O)[O-])cc1,0
O=C(COc1ccccc1[N+](=O)[O-])N/N=C/c1ccc(Br)cc1,0
Cc1[nH]n(-c2ccccc2)c(=O)c1C=Nc1ccc(N=Cc2c(C)[nH]n(-c3ccccc3)c2=O)c([N+](=O)[O-])c1,0
O=[N+]([O-])c1cccc(-n2c(O)c3c(c2O)C(c2ccccc2)C=CC3c2ccccc2)c1,0
O=c1[nH]c(=S)[nH]c(O)c1C=Nc1cccc(Br)c1,0
C=CCNC(=O)C(=O)Nc1ccccc1OCC,0
Clc1ccc(/C=N/Nc2nc(-c3ccc(Br)cc3)cs2)c(Cl)c1,0
CCOC(=O)C1=C(CSc2nc(N)c(C#N)c(-c3ccc(F)cc3)c2C#N)OC(=N)C(C#N)C1c1ccccc1,0
O=C(CC(=O)Nc1ccc(Cl)c(Cl)c1)N/N=C/c1cccc([N+](=O)[O-])c1,0
COc1ccc(C(=O)Oc2ccc(/C=N/c3ccc(Br)cc3)cc2)cc1,0
CC(C)(C)OC(=O)N/N=C/c1ccccc1,0
Nc1cccc(C(=O)Nc2ncccn2)c1,0
O=C(Cn1nc2c3sc(N4CCCC4)nc3ncn2c1=O)Nc1ccc(C(F)(F)F)cc1,0
COCc1cc(C)[nH]c(=S)c1C#N,0
CC(C)(C)OC(=O)NN=C1CCCCC1,0
O=C(CN1CCOCC1)Nc1cccc2ccccc12,0
COc1cc(C=NNc2nc(-c3ccc(Cl)c(Cl)c3)cs2)ccc1O,0
O=C(CNC(=O)c1ccco1)N/N=C/c1ccc2ccccc2c1,0
CC(C)N1CC=C2C(C#N)C(=N)C(C#N)(C#N)C(c3ccccc3C(F)(F)F)C2C1,0
Cc1cccc(C)c1OCC(=O)NN=Cc1ccc(C(=O)O)cc1,0
Cc1ccc(C)c(NC(=O)C(=O)N/N=C/c2ccc(Cl)cc2)c1,0
Cc1ccc(NC(=O)c2cccc(OC(=S)Nc3ccccc3C)c2)cc1C,0
O=C(NCCCCc1ccccc1)C(=O)Nc1ccccc1F,0
